Month,Day,Hour,Trips
4,Friday,0,1367
4,Friday,1,760
4,Friday,2,513
4,Friday,3,736
4,Friday,4,932
4,Friday,5,1382
4,Friday,6,2836
4,Friday,7,3943
4,Friday,8,3648
4,Friday,9,2732
4,Friday,10,2599
4,Friday,11,2816
4,Friday,12,2978
4,Friday,13,3535
4,Friday,14,4087
4,Friday,15,5354
4,Friday,16,6259
4,Friday,17,6790
4,Friday,18,7258
4,Friday,19,6247
4,Friday,20,5165
4,Friday,21,6265
4,Friday,22,6708
4,Friday,23,5393
4,Monday,0,518
4,Monday,1,261
4,Monday,2,238
4,Monday,3,571
4,Monday,4,1021
4,Monday,5,1619
4,Monday,6,2974
4,Monday,7,3888
4,Monday,8,3138
4,Monday,9,2211
4,Monday,10,1953
4,Monday,11,1929
4,Monday,12,1945
4,Monday,13,2294
4,Monday,14,3117
4,Monday,15,3818
4,Monday,16,4962
4,Monday,17,5574
4,Monday,18,4725
4,Monday,19,4386
4,Monday,20,3573
4,Monday,21,3079
4,Monday,22,1976
4,Monday,23,1091
4,Saturday,0,3027
4,Saturday,1,2479
4,Saturday,2,1577
4,Saturday,3,1013
4,Saturday,4,706
4,Saturday,5,704
4,Saturday,6,844
4,Saturday,7,1110
4,Saturday,8,1372
4,Saturday,9,1764
4,Saturday,10,2086
4,Saturday,11,2315
4,Saturday,12,2560
4,Saturday,13,2685
4,Saturday,14,3042
4,Saturday,15,4457
4,Saturday,16,5410
4,Saturday,17,5558
4,Saturday,18,6165
4,Saturday,19,5529
4,Saturday,20,4792
4,Saturday,21,5811
4,Saturday,22,6493
4,Saturday,23,5719
4,Sunday,0,4542
4,Sunday,1,2936
4,Sunday,2,1590
4,Sunday,3,1052
4,Sunday,4,685
4,Sunday,5,593
4,Sunday,6,669
4,Sunday,7,873
4,Sunday,8,1233
4,Sunday,9,1770
4,Sunday,10,2113
4,Sunday,11,2360
4,Sunday,12,2478
4,Sunday,13,2763
4,Sunday,14,2934
4,Sunday,15,3400
4,Sunday,16,3489
4,Sunday,17,3154
4,Sunday,18,2795
4,Sunday,19,2579
4,Sunday,20,2276
4,Sunday,21,2310
4,Sunday,22,1639
4,Sunday,23,1018
4,Thursday,0,792
4,Thursday,1,459
4,Thursday,2,342
4,Thursday,3,567
4,Thursday,4,861
4,Thursday,5,1454
4,Thursday,6,3179
4,Thursday,7,4159
4,Thursday,8,3616
4,Thursday,9,2654
4,Thursday,10,2370
4,Thursday,11,2516
4,Thursday,12,2657
4,Thursday,13,3301
4,Thursday,14,4083
4,Thursday,15,5182
4,Thursday,16,6149
4,Thursday,17,6951
4,Thursday,18,6637
4,Thursday,19,5929
4,Thursday,20,6345
4,Thursday,21,6585
4,Thursday,22,5370
4,Thursday,23,2909
4,Tuesday,0,765
4,Tuesday,1,367
4,Tuesday,2,304
4,Tuesday,3,516
4,Tuesday,4,887
4,Tuesday,5,1734
4,Tuesday,6,3766
4,Tuesday,7,5304
4,Tuesday,8,4594
4,Tuesday,9,2962
4,Tuesday,10,2900
4,Tuesday,11,2949
4,Tuesday,12,2819
4,Tuesday,13,3556
4,Tuesday,14,4489
4,Tuesday,15,6042
4,Tuesday,16,7521
4,Tuesday,17,8297
4,Tuesday,18,7089
4,Tuesday,19,6459
4,Tuesday,20,6310
4,Tuesday,21,5993
4,Tuesday,22,3614
4,Tuesday,23,1948
4,Wednesday,0,899
4,Wednesday,1,507
4,Wednesday,2,371
4,Wednesday,3,585
4,Wednesday,4,1003
4,Wednesday,5,1990
4,Wednesday,6,4230
4,Wednesday,7,5647
4,Wednesday,8,5242
4,Wednesday,9,3846
4,Wednesday,10,3844
4,Wednesday,11,3889
4,Wednesday,12,3988
4,Wednesday,13,4469
4,Wednesday,14,5438
4,Wednesday,15,7071
4,Wednesday,16,8213
4,Wednesday,17,9151
4,Wednesday,18,8334
4,Wednesday,19,7794
4,Wednesday,20,7783
4,Wednesday,21,6921
4,Wednesday,22,4845
4,Wednesday,23,2571
5,Friday,0,2004
5,Friday,1,1156
5,Friday,2,758
5,Friday,3,1005
5,Friday,4,1286
5,Friday,5,2025
5,Friday,6,4327
5,Friday,7,5665
5,Friday,8,5072
5,Friday,9,3806
5,Friday,10,3812
5,Friday,11,4250
5,Friday,12,4550
5,Friday,13,5201
5,Friday,14,6789
5,Friday,15,8384
5,Friday,16,9010
5,Friday,17,9543
5,Friday,18,11081
5,Friday,19,10395
5,Friday,20,8847
5,Friday,21,9392
5,Friday,22,8859
5,Friday,23,6774
5,Monday,0,767
5,Monday,1,466
5,Monday,2,304
5,Monday,3,627
5,Monday,4,977
5,Monday,5,1514
5,Monday,6,2688
5,Monday,7,3287
5,Monday,8,3012
5,Monday,9,2294
5,Monday,10,2205
5,Monday,11,2297
5,Monday,12,2473
5,Monday,13,2928
5,Monday,14,3821
5,Monday,15,4514
5,Monday,16,5055
5,Monday,17,5466
5,Monday,18,4237
5,Monday,19,3654
5,Monday,20,3715
5,Monday,21,3681
5,Monday,22,2435
5,Monday,23,1429
5,Saturday,0,3878
5,Saturday,1,2249
5,Saturday,2,1524
5,Saturday,3,1205
5,Saturday,4,958
5,Saturday,5,1027
5,Saturday,6,1203
5,Saturday,7,1588
5,Saturday,8,2144
5,Saturday,9,2579
5,Saturday,10,2862
5,Saturday,11,3248
5,Saturday,12,3567
5,Saturday,13,4088
5,Saturday,14,4950
5,Saturday,15,7104
5,Saturday,16,8472
5,Saturday,17,7518
5,Saturday,18,8145
5,Saturday,19,6419
5,Saturday,20,5918
5,Saturday,21,7027
5,Saturday,22,7901
5,Saturday,23,7416
5,Sunday,0,4247
5,Sunday,1,2576
5,Sunday,2,1565
5,Sunday,3,1144
5,Sunday,4,723
5,Sunday,5,620
5,Sunday,6,683
5,Sunday,7,911
5,Sunday,8,1252
5,Sunday,9,1759
5,Sunday,10,2074
5,Sunday,11,2509
5,Sunday,12,2754
5,Sunday,13,3005
5,Sunday,14,3238
5,Sunday,15,3775
5,Sunday,16,4088
5,Sunday,17,3774
5,Sunday,18,3282
5,Sunday,19,2881
5,Sunday,20,2782
5,Sunday,21,2809
5,Sunday,22,2230
5,Sunday,23,1487
5,Thursday,0,1426
5,Thursday,1,831
5,Thursday,2,584
5,Thursday,3,849
5,Thursday,4,1291
5,Thursday,5,2425
5,Thursday,6,5080
5,Thursday,7,6697
5,Thursday,8,6318
5,Thursday,9,4550
5,Thursday,10,4367
5,Thursday,11,4236
5,Thursday,12,4375
5,Thursday,13,5219
5,Thursday,14,6357
5,Thursday,15,7852
5,Thursday,16,9046
5,Thursday,17,10686
5,Thursday,18,9738
5,Thursday,19,8424
5,Thursday,20,8474
5,Thursday,21,9023
5,Thursday,22,7143
5,Thursday,23,3930
5,Tuesday,0,715
5,Tuesday,1,431
5,Tuesday,2,303
5,Tuesday,3,543
5,Tuesday,4,864
5,Tuesday,5,1631
5,Tuesday,6,3416
5,Tuesday,7,4401
5,Tuesday,8,3616
5,Tuesday,9,2647
5,Tuesday,10,2581
5,Tuesday,11,2554
5,Tuesday,12,2733
5,Tuesday,13,3459
5,Tuesday,14,4192
5,Tuesday,15,5247
5,Tuesday,16,6169
5,Tuesday,17,6713
5,Tuesday,18,5344
5,Tuesday,19,4712
5,Tuesday,20,4980
5,Tuesday,21,4503
5,Tuesday,22,3149
5,Tuesday,23,1759
5,Wednesday,0,838
5,Wednesday,1,477
5,Wednesday,2,334
5,Wednesday,3,573
5,Wednesday,4,846
5,Wednesday,5,1547
5,Wednesday,6,3618
5,Wednesday,7,4864
5,Wednesday,8,4046
5,Wednesday,9,2872
5,Wednesday,10,2900
5,Wednesday,11,2961
5,Wednesday,12,3143
5,Wednesday,13,3799
5,Wednesday,14,5016
5,Wednesday,15,6211
5,Wednesday,16,7287
5,Wednesday,17,7808
5,Wednesday,18,7138
5,Wednesday,19,5902
5,Wednesday,20,6015
5,Wednesday,21,5782
5,Wednesday,22,3839
5,Wednesday,23,2041
6,Friday,0,1836
6,Friday,1,1112
6,Friday,2,687
6,Friday,3,952
6,Friday,4,1248
6,Friday,5,1838
6,Friday,6,3465
6,Friday,7,5122
6,Friday,8,5169
6,Friday,9,3934
6,Friday,10,3483
6,Friday,11,3794
6,Friday,12,3818
6,Friday,13,4381
6,Friday,14,5245
6,Friday,15,6405
6,Friday,16,7267
6,Friday,17,8141
6,Friday,18,7942
6,Friday,19,6014
6,Friday,20,5165
6,Friday,21,5990
6,Friday,22,6454
6,Friday,23,5594
6,Monday,0,912
6,Monday,1,512
6,Monday,2,420
6,Monday,3,1049
6,Monday,4,1712
6,Monday,5,2747
6,Monday,6,4674
6,Monday,7,6338
6,Monday,8,5971
6,Monday,9,4264
6,Monday,10,3683
6,Monday,11,3562
6,Monday,12,3579
6,Monday,13,4005
6,Monday,14,4930
6,Monday,15,5758
6,Monday,16,6983
6,Monday,17,7306
6,Monday,18,5741
6,Monday,19,5243
6,Monday,20,5354
6,Monday,21,4771
6,Monday,22,3230
6,Monday,23,1911
6,Saturday,0,3550
6,Saturday,1,2362
6,Saturday,2,1475
6,Saturday,3,1298
6,Saturday,4,844
6,Saturday,5,911
6,Saturday,6,1137
6,Saturday,7,1391
6,Saturday,8,1902
6,Saturday,9,2443
6,Saturday,10,2906
6,Saturday,11,3047
6,Saturday,12,3228
6,Saturday,13,3466
6,Saturday,14,3927
